ORIGIN_AIRPORT,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE,CLUSTER,total_flights,avg_arrival_delay,avg_departure_delay,pct_delayed_15,cancellation_rate,avg_taxi_out,avg_distance,weather_delay_rate,airline_delay_rate,late_ac_delay_rate,system_delay_rate,PC1,PC2
SHV,Shreveport Regional Airport,Shreveport,LA,32.44663,-93.8256,1,5932,9.921443,10.20853,19.942684,2.459419576979833,10.488368,343.25372,2.2949364,40.8362,39.064034,17.804834,1.3941325567967446,-0.6085173669994516
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,57.04714,-135.3616,2,1322,1.9478064,0.69818455,14.220878,0.6706408345752608,11.582451,314.61725,14.0,22.387754,46.377552,15.530612,-2.450487542773593,-0.12611222652601786
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,37.36186,-121.92901,1,37708,5.1482973,7.3697095,17.14225,1.1465968586387436,12.212024,729.1712,2.9205098,28.07487,53.194447,15.75626,-0.4524032018151507,-0.3126417366076108
SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX,31.35775,-100.49631,0,1550,4.9,7.392258,18.258064,4.72972972972973,9.243871,229.0,10.380369,27.525768,45.534454,16.344896,-0.29903456783568066,-1.9734024102686032
SJU,Luis Muñoz Marín International Airport,San Juan,PR,18.43942,-66.00183,1,24399,2.5196934,10.096069,16.959711,0.7746593121349773,13.378868,1383.9347,0.9069765,35.23854,50.470924,13.148747,0.07288577490392084,1.2695232856202883
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839,-111.97777,2,96505,0.7500855,4.746583,12.970312,0.4063367966258616,17.544687,737.85815,3.7985337,38.202003,33.907845,23.99005,-0.5448494140667423,2.705675280043916
SMF,Sacramento International Airport,Sacramento,CA,38.69542,-121.59077,1,36788,5.4518323,8.032537,17.179516,0.962055250994303,11.514842,689.8398,1.4357283,26.305052,55.344803,16.878025,-0.47587649645958635,-0.6156731581502254
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA,34.89925,-120.45758,1,652,5.880368,8.843558,15.797546,1.8072289156626504,15.207055,184.93558,1.7260704,34.599865,38.276173,24.254652,0.5714567179531592,0.3688009897362228
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,33.67566,-117.86822,2,36708,1.6555792,6.5116053,14.149505,1.0379971495415066,12.216955,796.26587,1.9266484,22.142988,49.883396,26.018969,-1.1216876330446521,0.16276756390670497
SPI,Abraham Lincoln Capital Airport,Springfield,IL,39.84395,-89.67762,1,1517,8.011207,9.568886,17.20501,4.095778197857593,12.864865,343.234,2.9795992,28.064602,43.521835,25.237116,0.9780947255535297,-1.242956138024705
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,33.9888,-98.49189,0,1170,6.418803,7.5692306,17.179487,4.943273905996758,12.076068,113.0,6.5768995,37.539753,37.945732,17.836119,0.4587915465790912,-0.9333467646142682
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,27.39533,-82.55411,1,3318,4.518686,9.72393,15.461122,1.1572700296735905,12.269741,705.6992,1.0479751,24.798567,47.345833,26.67597,0.004919797360729829,-0.08809844372086306
STL,St. Louis International Airport at Lambert Field,St Louis,MO,38.74769,-90.35999,1,46181,4.363028,9.531669,18.05288,1.3776803015139578,11.35742,716.85913,4.0185413,28.828754,47.668285,19.415497,0.08313563854479664,-0.2693318080619025
